engine_id,true_rul,predicted_rul,std,lower_95,upper_95
1,112.0,115.61974,5.528792,104.78331,126.45618
2,98.0,111.99542,7.2263856,97.8317,126.15914
3,69.0,52.070004,3.2355494,45.728325,58.411682
4,82.0,79.87791,4.6002316,70.86145,88.89436
5,91.0,109.43949,6.932796,95.85121,123.02777
6,93.0,105.98734,7.3089814,91.66174,120.31294
7,91.0,110.903694,7.4605713,96.280975,125.52641
8,95.0,89.832565,6.5393057,77.015526,102.649605
9,111.0,115.97212,7.120351,102.016235,129.92801
10,96.0,92.401375,5.464703,81.69056,103.11219
11,97.0,74.624504,4.6792736,65.453125,83.79588
12,124.0,106.68436,6.0533,94.819885,118.54883
13,95.0,82.197205,5.086354,72.22795,92.16646
14,107.0,100.46467,6.0896506,88.52895,112.40038
15,83.0,101.193954,6.574998,88.30696,114.08095
16,84.0,109.79387,6.6553855,96.74931,122.838425
17,50.0,48.613834,3.8785238,41.01193,56.21574
18,28.0,25.932817,2.1050065,21.807005,30.05863
19,87.0,92.09244,5.3021574,81.70021,102.484665
20,16.0,15.65471,1.6818577,12.358269,18.95115
21,57.0,72.46622,5.119779,62.43145,82.500984
22,111.0,116.847626,7.4769945,102.19272,131.50253
23,113.0,121.62674,6.873446,108.154785,135.0987
24,20.0,22.222656,2.883896,16.57022,27.875092
25,125.0,101.982666,6.8859234,88.48625,115.47908
26,119.0,117.51586,7.2327757,103.33962,131.69211
27,66.0,96.4116,5.599513,85.436554,107.38664
28,97.0,101.127625,6.4197702,88.544876,113.71037
29,90.0,101.839455,5.8611298,90.35164,113.32727
30,115.0,104.28363,5.7312126,93.05045,115.51681
31,8.0,13.383057,1.6029692,10.241237,16.524876
32,48.0,47.068913,4.3566685,38.529842,55.607983
33,106.0,107.23051,6.7477937,94.00483,120.456184
34,7.0,7.0152545,1.4949377,4.0851765,9.945333
35,11.0,7.6801753,1.3760576,4.9831023,10.377249
36,19.0,20.609652,1.9748063,16.73903,24.480272
37,21.0,22.927322,2.3043694,18.410759,27.443886
38,50.0,47.13822,3.1062655,41.049942,53.2265
39,125.0,124.673904,7.4147406,110.141014,139.2068
40,28.0,34.984188,2.5921953,29.903484,40.06489
41,18.0,20.029068,2.3696291,15.384595,24.673542
42,10.0,9.374256,1.6143979,6.2100363,12.538476
43,59.0,57.177418,4.0249662,49.288483,65.06635
44,109.0,100.175514,6.1430936,88.13505,112.21598
45,114.0,71.875046,4.3067303,63.433853,80.31624
46,47.0,45.21499,3.2029407,38.937225,51.492752
47,125.0,106.45232,6.7622128,93.19838,119.70625
48,92.0,81.31938,5.205872,71.115875,91.52289
49,21.0,16.37257,1.9900497,12.472073,20.273067
50,79.0,83.699745,5.107577,73.688896,93.710594
51,114.0,94.02944,5.4997807,83.24987,104.80901
52,29.0,27.720936,3.0322769,21.777674,33.6642
53,26.0,27.357725,2.7095282,22.04705,32.6684
54,97.0,116.842415,7.5497212,102.04496,131.63986
55,125.0,115.53736,6.7863283,102.23616,128.83856
56,15.0,13.019356,1.7953401,9.500489,16.538223
57,103.0,101.748535,5.4789515,91.00979,112.48728
58,37.0,44.441917,3.0595737,38.445152,50.438683
59,114.0,119.180145,6.6929836,106.0619,132.2984
60,100.0,109.346985,6.427907,96.74829,121.94568
61,21.0,20.192371,1.6646678,16.929623,23.45512
62,54.0,45.636387,3.651031,38.480366,52.792408
63,72.0,92.741486,6.0024176,80.976746,104.506226
64,28.0,32.93094,2.537171,27.958084,37.903793
65,125.0,121.606094,7.4364705,107.03061,136.18158
66,14.0,17.719486,2.299527,13.212414,22.226559
67,77.0,123.171906,7.167912,109.122795,137.22101
68,8.0,13.620449,1.8052648,10.08213,17.158768
69,121.0,117.46154,6.6518364,104.42394,130.49915
70,94.0,81.82923,4.8916507,72.24159,91.41687
71,118.0,112.28811,7.3702207,97.842476,126.73374
72,50.0,75.23951,4.146103,67.113144,83.365875
73,125.0,113.78282,7.0378656,99.9886,127.57704
74,125.0,102.705475,6.528808,89.90901,115.50194
75,113.0,104.485245,6.322595,92.09296,116.87753
76,10.0,9.946249,1.6251067,6.7610397,13.131458
77,34.0,33.43629,3.0117276,27.533304,39.339275
78,107.0,123.678635,6.248102,111.43236,135.92491
79,63.0,64.13052,4.190492,55.91716,72.34389
80,90.0,90.79676,5.0325375,80.93298,100.66054
81,8.0,7.5376897,1.1755898,5.233534,9.8418455
82,9.0,8.019541,1.2152839,5.6375847,10.401497
83,125.0,117.80385,7.3303194,103.436424,132.17128
84,58.0,83.64935,5.7472587,72.38473,94.91398
85,118.0,117.648285,6.784116,104.35142,130.94516
86,89.0,105.73325,6.06418,93.84746,117.61905
87,116.0,119.49846,7.4868894,104.82416,134.17276
88,115.0,110.83543,6.417374,98.25737,123.41348
89,125.0,116.59709,7.5175796,101.86263,131.33154
90,28.0,23.970383,1.6986973,20.640936,27.29983
91,38.0,21.745003,2.0848382,17.65872,25.831285
92,20.0,21.633888,2.146955,17.425856,25.84192
93,85.0,46.067837,3.7137115,38.788963,53.34671
94,55.0,64.1933,4.3382354,55.690357,72.69624
95,125.0,103.27176,5.215078,93.05021,113.49331
96,125.0,108.97915,6.8654294,95.5229,122.435394
97,82.0,92.54866,5.754865,81.26913,103.82819
98,59.0,53.274956,3.5151076,46.385345,60.164566
99,117.0,120.876526,7.733599,105.71867,136.03438
100,20.0,18.89748,2.7101576,13.585571,24.209389
